"";"texas.income";"texas.income4";"texas.income8";"texas.Tax_Brackets";"texas.race";"texas.Race";"texas.educ";"texas.Native";"texas.Sex";"income";"income4";"income8";"Tax_Brackets";"race";"Race";"educ";"Native";"Sex"
"5056";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5057";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"5058";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"5059";"$7.5 to $9.9";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"High school graduate";"Foreign born";"Female";"$7.5 to $9.9";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"White";"White";"High school graduate";"Foreign born";"Female"
"5060";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"5061";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5062";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Foreign born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Foreign born";"Female"
"5063";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"5064";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"5065";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"5066";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"5067";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5068";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Foreign born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Foreign born";"Female"
"5069";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5070";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"5071";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"5072";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"5073";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5074";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5075";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male"
"5076";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"5077";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"5078";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5079";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male"
"5080";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5081";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Foreign born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Foreign born";"Male"
"5082";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"5083";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"Minorities";"Mixed Race";"Did not finished high school";"Native born";"Male";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"Minorities";"Mixed Race";"Did not finished high school";"Native born";"Male"
"5084";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"5085";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"5086";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"5087";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5088";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"5089";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male"
"5090";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5091";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5092";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"5093";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5094";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5095";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"5096";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5097";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"5098";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"5099";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"5100";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"5101";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"5102";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"5103";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5104";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"5105";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male"
"5106";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male"
"5107";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male"
"5108";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"5109";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male"
"5110";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"5111";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5112";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"5113";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"Minorities";"Mixed Race";"High school graduate";"Native born";"Female";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"Minorities";"Mixed Race";"High school graduate";"Native born";"Female"
"5114";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5115";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5116";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"5117";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"5118";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"5119";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"5120";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5121";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"5122";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"5123";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"5124";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5125";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"5126";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"5127";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"5128";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"5129";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5130";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Female";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Female"
"5131";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"5132";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"5133";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Foreign born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Foreign born";"Male"
"5134";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"5135";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"5136";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"5137";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"Minorities";"Mixed Race";"High school graduate";"Native born";"Male"
"5138";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male"
"5139";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"5140";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5141";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"5142";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male"
"5143";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"5144";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"5145";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male"
"5146";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Native born";"Female";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Native born";"Female"
"5147";"$10 to $12.49";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"Minorities";"Asian & Pacific Islander";"Graduate School";"Native born";"Male";"$10 to $12.49";"Less than $12,499";"$7.5 to $12.49";"Up to $19,999";"Minorities";"Asian & Pacific Islander";"Graduate School";"Native born";"Male"
"5148";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Foreign born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Foreign born";"Male"
"5149";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Foreign born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Foreign born";"Female"
"5150";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"5151";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"5152";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"5153";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"5154";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"5155";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"5156";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"Bachelor's degree";"Native born";"Male";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"Bachelor's degree";"Native born";"Male"
"5157";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5158";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"5159";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"5160";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"5161";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"5162";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"5163";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"5164";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
